#
#http://nds121.iaea.org/alberto/mediawiki-1.6.10/index.php/Benchmark:ExpDataSets:p-Fe-1200-ddxsn-leray
#
#PROJECTILE: proton
#ENERGY: 1200 MeV
#TARGET: Fe
#
#OBSERVABLE: neutron double differential cross section (theta = xxx degree)
#REFERENCE: S. Leray et al., PRC 65 (2002) 044621
#CONTACT PERSON: Sylvie Leray - CEA-Saclay SPhN - sylvie.leray@cea.fr
#
#FORMAT: E  Delta_E data error
#(UNIT) (MeV) (MeV) (mb/sr/MeV) (mb/sr/MeV)
#
#ADD.INFO: Target@f3xt3cm, Distance@350cm, Detector size@f16cm
#

# theta:  0  degrees
#  Energy      Delta_E    Data         Error
# (MeV)       (MeV)      (mb/sr/MeV)  (mb/sr/MeV)
 530.0339966   7.6892099   0.3708930   0.0313563
 545.4669800   7.7438998   0.3492600   0.0307709
 561.0079956   7.7969999   0.3091010   0.0301818
 576.6539917   7.8485098   0.2842720   0.0295864
 592.4010010   7.8983202   0.3147610   0.0292829
 608.2459717   7.9467201   0.3503960   0.0301142
 624.1859741   7.9935899   0.3347350   0.0294671
 640.2189941   8.0390596   0.3321650   0.0293930
 656.3410034   8.0831900   0.3587310   0.0298378
 672.5499878   8.1259804   0.3935620   0.0301760
 688.8439941   8.1674805   0.3702000   0.0299248
 705.2189941   8.2077599   0.3655340   0.0301980
 721.6729736   8.2468300   0.3772730   0.0299548
 738.2050171   8.2847900   0.4107890   0.0303884
 754.8109741   8.3216600   0.4292760   0.0305749
 771.4910278   8.3574200   0.4159430   0.0300952
 788.2399902   8.3921499   0.4143310   0.0300005
 805.0579834   8.4258404   0.4591790   0.0295742
 821.9429932   8.4586802   0.4735990   0.0295887
 838.8920288   8.4905396   0.4299430   0.0283782
 855.9039917   8.5214195   0.3849310   0.0271495
 872.9769897   8.5515099   0.3412000   0.0256532
 890.1090088   8.5807505   0.3075020   0.0245093
 907.2990112   8.6091900   0.2855080   0.0232884
 924.5449829   8.6368399   0.2294390   0.0213319
 941.8460083   8.6637001   0.1879930   0.0199366
 959.1989746   8.6898804   0.1539540   0.0182832
 976.6040039   8.7152700   0.1368840   0.0177710
 994.0599976   8.7400503   0.1277650   0.0170897
1011.5599976   8.7641602   0.1346210   0.0174213
1029.1199951   8.7875700   0.1684520   0.0178006
1046.7099609   8.8105497   0.2266210   0.0189946
1064.3599854   8.8326397   0.2924220   0.0197773
1082.0400391   8.8542500   0.3281940   0.0203255
1099.7700195   8.8754902   0.3286420   0.0199698
1117.5400391   8.8959999   0.2672320   0.0183503
1135.3599854   8.9160204   0.1919670   0.0169953
1153.2099609   8.9354200   0.1032930   0.0141164
1171.0999756   8.9545898   0.0389179   0.0118846
1189.0300293   8.9730196   0.0000000   0.0000000

# theta:  25  degrees
#  Energy      Delta_E    Data         Error
# (MeV)       (MeV)      (mb/sr/MeV)  (mb/sr/MeV)
   4.1088886   0.3265831  15.3527288   0.9014697
   4.8184371   0.3829795  12.7326527   0.7337003
   5.6505151   0.4491148  11.1831398   0.6385047
   6.6262817   0.5266708   9.2708530   0.5364332
   7.7705493   0.6176196   7.1217489   0.4247929
   9.1124163   0.7242740   6.2117229   0.3713984
  10.6860056   0.8493462   4.7973833   0.2976077
  12.5313320   0.9960166   3.5560627   0.2318248
  14.6953211   1.1680150   3.2664402   0.2083264
  17.2330017   1.3697152   2.5451686   0.1637880
  20.2089043   1.6062461   2.1688476   0.1361515
  23.6987038   1.8836228   1.8108011   0.1124005
  27.7911453   2.2088985   1.7030746   0.1037487
  32.5902939   2.5903451   1.5976573   0.0955025
  38.2181892   3.0376620   1.3821687   0.0829721
  44.8179474   3.5622246   1.3101292   0.0774679
  52.5573921   4.1773720   1.2535733   0.0725785
  61.6333313   4.8987465   1.1295424   0.0651124
  72.2765579   5.7446928   1.0508329   0.0601637
  84.7577286   6.7367225   0.9329304   0.0532884
  99.3942261   7.9000621   0.8842095   0.0498010
 116.5582428   9.2642937   0.7925069   0.0444305
 136.6862488  10.8641100   0.6587377   0.0370634
 160.2900848  12.7401924   0.5946459   0.0332529
 179.5278931   6.4976273   0.5350633   0.0468095
 191.7508240   5.7258525   0.5096190   0.0400773
 203.5544128   6.0783181   0.4765287   0.0335047
 216.0845947   6.4524808   0.4644081   0.0289596
 229.3860931   6.8496752   0.4147353   0.0251877
 243.5063934   7.2713203   0.3869120   0.0226183
 258.4959106   7.7189207   0.3937957   0.0210086
 273.8942871   7.6802368   0.3790203   0.0199729
 288.0100098   6.4354901   0.3812794   0.0205898
 300.9750061   6.5294199   0.3318519   0.0204686
 314.1250000   6.6204200   0.3134477   0.0195378
 327.4540100   6.7086802   0.3239860   0.0195159
 340.9570007   6.7940698   0.3003075   0.0185652
 354.6279907   6.8768902   0.2945131   0.0186139
 368.4609985   6.9570298   0.2937481   0.0183826
 382.4530029   7.0346699   0.2677321   0.0180442
 396.5979919   7.1099200   0.2458991   0.0176483
 410.8900146   7.1827402   0.2473466   0.0168568
 425.3269958   7.2533598   0.2562257   0.0168704
 439.9020081   7.3216600   0.2410838   0.0168859
 454.6109924   7.3878798   0.2301681   0.0165741
 469.4509888   7.4520302   0.2179170   0.0159700
 484.4169922   7.5141001   0.2218585   0.0157954
 499.5060120   7.5743399   0.2001104   0.0156180
 514.7130127   7.6326299   0.1883294   0.0156349
 530.0339966   7.6892099   0.1838108   0.0145176
 545.4669800   7.7438998   0.1648507   0.0142735
 561.0079956   7.7969999   0.1580932   0.0137936
 576.6539917   7.8485098   0.1596045   0.0132852
 592.4010010   7.8983202   0.1523464   0.0128984
 608.2459717   7.9467201   0.1393533   0.0124783
 624.1859741   7.9935899   0.1241136   0.0120431
 640.2189941   8.0390596   0.1134844   0.0118409
 656.3410034   8.0831900   0.1159349   0.0115661
 672.5499878   8.1259804   0.1067005   0.0109193
 688.8439941   8.1674805   0.1036966   0.0109205
 705.2189941   8.2077599   0.1003442   0.0106859
 721.6729736   8.2468300   0.1004224   0.0103696
 738.2050171   8.2847900   0.0880464   0.0102491
 754.8109741   8.3216600   0.0827144   0.0094356
 771.4910278   8.3574200   0.0773395   0.0090520
 788.2399902   8.3921499   0.0765751   0.0090555
 805.0579834   8.4258404   0.0786107   0.0090793
 821.9429932   8.4586802   0.0779134   0.0085718
 838.8920288   8.4905396   0.0703974   0.0087489
 855.9039917   8.5214195   0.0606052   0.0079853
 872.9769897   8.5515099   0.0620539   0.0079449
 890.1090088   8.5807505   0.0641264   0.0079702
 907.2990112   8.6091900   0.0543463   0.0071649
 924.5449829   8.6368399   0.0519236   0.0068255
 941.8460083   8.6637001   0.0459300   0.0063623
 959.1989746   8.6898804   0.0345721   0.0057688
 976.6040039   8.7152700   0.0266302   0.0051122
 994.0599976   8.7400503   0.0218869   0.0052441
1011.5599976   8.7641602   0.0172016   0.0041791
1029.1199951   8.7875700   0.0127365   0.0036753
1046.7099609   8.8105497   0.0087896   0.0033991
1064.3599854   8.8326397   0.0038678   0.0026006

# theta:  40  degrees
#  Energy      Delta_E    Data         Error
# (MeV)       (MeV)      (mb/sr/MeV)  (mb/sr/MeV)
    1.9808967    0.0900696   31.3674469    2.1989660
    2.1696191    0.0986506   30.0154743    1.2985345
    2.3763213    0.1080492   27.2346878    1.1674684
    2.6027162    0.1183432   26.7888088    1.0694638
    2.8506799    0.1296179   26.0691395    0.9908195
    3.1222675    0.1419667   23.4210377    0.9028133
    3.4197297    0.1554920   19.6298790    0.8009950
    3.7455313    0.1703059   18.1675014    0.7459437
    4.1023726    0.1865312   16.6029320    0.6842171
    4.4932103    0.2043022   16.7164307    0.6435319
    4.9212837    0.2237663   13.4232569    0.5743316
    5.3901401    0.2450848   12.2416878    0.5294375
    5.9036651    0.2684343   10.3321409    0.4768885
    6.4661140    0.2940084    9.6618118    0.4514104
    7.0821486    0.3220189    8.5949030    0.4137361
    7.7568731    0.3526981    7.0302739    0.3796149
    8.4958792    0.3863000    6.0072708    0.3441007
    9.3052921    0.4231033    5.6274281    0.3272783
   10.1918182    0.4634128    4.7091765    0.3002014
   11.1628103    0.5075684    3.8621497    0.2681228
   12.2262974    0.5559188    3.6963272    0.2506594

# theta:  55  degrees
#  Energy      Delta_E    Data         Error
# (MeV)       (MeV)      (mb/sr/MeV)  (mb/sr/MeV)
   4.1088886   0.3265831  14.4347391   0.8361903
   4.8184371   0.3829795  12.7490196   0.7176845
   5.6505151   0.4491148  10.5785971   0.5979213
   6.6262817   0.5266708   8.6697254   0.4953451
   7.7705493   0.6176196   6.7496295   0.3957945
   9.1124163   0.7242740   5.7276387   0.3393984
  10.6860056   0.8493462   4.4599328   0.2729033
  12.5313320   0.9960166   3.6766884   0.2286069
  14.6953211   1.1680150   3.1273406   0.1939059
  17.2330017   1.3697152   2.6437707   0.1622576
  20.2089043   1.6062461   2.0503652   0.1255987
  23.6987038   1.8836228   1.7254915   0.1050736
  27.7911453   2.2088985   1.5195934   0.0923432
  32.5902939   2.5903451   1.3741252   0.0830950
  38.2181892   3.0376620   1.3010843   0.0774948
  44.8179474   3.5622246   1.1818063   0.0698042
  52.5573921   4.1773720   1.0631782   0.0624701
  61.6333313   4.8987465   0.9780972   0.0569618
  72.2765579   5.7446928   0.8634071   0.0503457
  84.7577286   6.7367225   0.7651294   0.0446416
  99.3942261   7.9000621   0.6529141   0.0381711
 116.5582428   9.2642937   0.5093610   0.0301979
 136.6862488  10.8641100   0.3982904   0.0241304
 160.2900848  12.7401924   0.3260710   0.0198378
 179.5278931   6.4976273   0.2711861   0.0258465
 191.7508240   5.7258525   0.2435504   0.0209531
 203.5544128   6.0783181   0.2235491   0.0168610
 216.0845947   6.4524808   0.2012625   0.0139117
 229.3860931   6.8496752   0.1789806   0.0117895
 243.5063934   7.2713203   0.1652237   0.0103274
 258.4959106   7.7189207   0.1523966   0.0093322
 273.8942871   7.6802368   0.1336320   0.0085077
 288.0100098   6.4354901   0.1239540   0.0084718
 300.9750061   6.5294199   0.1170953   0.0080599
 314.1250000   6.6204200   0.0926272   0.0076048
 327.4540100   6.7086802   0.0854025   0.0071182
 340.9570007   6.7940698   0.0859883   0.0068736
 354.6279907   6.8768902   0.0677297   0.0064307
 368.4609985   6.9570298   0.0637284   0.0061050
 382.4530029   7.0346699   0.0599310   0.0057488
 396.5979919   7.1099200   0.0495721   0.0053919
 410.8900146   7.1827402   0.0419021   0.0049845
 425.3269958   7.2533598   0.0393251   0.0047116
 439.9020081   7.3216600   0.0321749   0.0043452
 454.6109924   7.3878798   0.0263724   0.0039207
 469.4509888   7.4520302   0.0233673   0.0036956
 484.4169922   7.5141001   0.0182545   0.0034181
 499.5060120   7.5743399   0.0173521   0.0032002
 514.7130127   7.6326299   0.0163827   0.0029424
 530.0339966   7.6892099   0.0140511   0.0027471
 545.4669800   7.7438998   0.0095472   0.0024929
 561.0079956   7.7969999   0.0082552   0.0023229
 576.6539917   7.8485098   0.0073504   0.0020425
 592.4010010   7.8983202   0.0077736   0.0020283
 608.2459717   7.9467201   0.0049499   0.0016979
 624.1859741   7.9935899   0.0040691   0.0016820
 640.2189941   8.0390596   0.0024855   0.0013038
 656.3410034   8.0831900   0.0029111   0.0013758
 672.5499878   8.1259804   0.0025136   0.0012443
 688.8439941   8.1674805   0.0019335   0.0010280
 705.2189941   8.2077599   0.0017308   0.0009917
 721.6729736   8.2468300   0.0010104   0.0007994

# theta:  85  degrees
#  Energy      Delta_E    Data         Error
# (MeV)       (MeV)      (mb/sr/MeV)  (mb/sr/MeV)
   4.1088886   0.3265831  12.5902920   0.7395094
   4.8184371   0.3829795  10.4348001   0.6022235
   5.6505151   0.4491148   8.8903503   0.5110082
   6.6262817   0.5266708   7.3379765   0.4279882
   7.7705493   0.6176196   5.8404078   0.3483917
   9.1124163   0.7242740   4.9621105   0.2988925
  10.6860056   0.8493462   3.9473164   0.2447720
  12.5313320   0.9960166   2.9139290   0.1897706
  14.6953211   1.1680150   2.5090013   0.1625425
  17.2330017   1.3697152   2.0134974   0.1317724
  20.2089043   1.6062461   1.6835852   0.1074827
  23.6987038   1.8836228   1.4182384   0.0896156
  27.7911453   2.2088985   1.1777979   0.0755499
  32.5902939   2.5903451   1.0194931   0.0652686
  38.2181892   3.0376620   0.9623339   0.0604612
  44.8179474   3.5622246   0.8547649   0.0534549
  52.5573921   4.1773720   0.7092322   0.0450683
  61.6333313   4.8987465   0.6229151   0.0395685
  72.2765579   5.7446928   0.5510444   0.0349380
  84.7577286   6.7367225   0.4140795   0.0276694
  99.3942261   7.9000621   0.3151334   0.0218446
 109.6066971   2.3124084   0.2542913   0.0254368
 116.5583344   4.6395926   0.1983590   0.0196361
 126.2217789   5.0242453   0.1538008   0.0150382
 136.6863861   5.4407878   0.1222268   0.0118283
 148.0185699   5.8918643   0.1010100   0.0096959
 160.2902832   6.3803382   0.0798962   0.0079433
 173.5793762   6.9093094   0.0635361   0.0065883
 187.9702454   7.4821362   0.0484180   0.0054927
 203.5541992   8.1024542   0.0376385   0.0046453
 215.9554749   4.2995148   0.0318278   0.0041036
 226.1739960   5.9190102   0.0265025   0.0039833
 238.1219940   6.0287499   0.0227107   0.0036814
 250.2859955   6.1351900   0.0193043   0.0032911
 262.6589966   6.2384601   0.0154207   0.0030676
 275.2359924   6.3384399   0.0132959   0.0027648
 288.0100098   6.4354901   0.0111839   0.0025073
 300.9750061   6.5294199   0.0057253   0.0021072
 314.1250000   6.6204200   0.0089681   0.0021275
 327.4540100   6.7086802   0.0078249   0.0019703
 340.9570007   6.7940698   0.0030856   0.0015458
 354.6279907   6.8768902   0.0028114   0.0013999
 368.4609985   6.9570298   0.0029872   0.0012752
 382.4530029   7.0346699   0.0024627   0.0011751
 396.5979919   7.1099200   0.0017017   0.0010542
 410.8900146   7.1827402   0.0013222   0.0009115
 425.3269958   7.2533598   0.0012936   0.0008483
 439.9020081   7.3216600   0.0011055   0.0007761

# theta: 100  degrees
#  Energy      Delta_E    Data         Error
# (MeV)       (MeV)      (mb/sr/MeV)  (mb/sr/MeV)
    1.9808967    0.0900696   29.2243614    1.8777149
    2.1696191    0.0986506   29.6961975    0.9574869
    2.3763213    0.1080492   27.4036922    0.8702816
    2.6027162    0.1183432   25.9492607    0.7911160
    2.8506799    0.1296179   22.4469643    0.7113166
    3.1222675    0.1419667   21.2863998    0.6598377
    3.4197297    0.1554920   19.2072029    0.6049867
    3.7455313    0.1703059   17.6738663    0.5577077
    4.1023726    0.1865312   15.0692825    0.5009292
    4.4932103    0.2043022   14.7393408    0.4688487
    4.9212837    0.2237663   12.5316544    0.4210703
    5.3901401    0.2450848   10.7779961    0.3839511
    5.9036651    0.2684343    8.8725748    0.3441972
    6.4661140    0.2940084    7.9265437    0.3191360
    7.0821486    0.3220189    7.3799763    0.2958339
    7.7568731    0.3526981    6.0733409    0.2673226
    8.4958792    0.3863000    5.6957817    0.2506970
    9.3052921    0.4231033    4.5873475    0.2236503
   10.1918182    0.4634128    3.9385340    0.2100755
   11.1628103    0.5075684    3.3312638    0.1914207
   12.2262974    0.5559188    3.1821761    0.1753074

# theta: 115  degrees
#  Energy      Delta_E    Data         Error
# (MeV)       (MeV)      (mb/sr/MeV)  (mb/sr/MeV)
    1.9808967    0.0900696   33.0210648    2.0650270
    2.1696191    0.0986506   30.2753696    0.9586760
    2.3763213    0.1080492   28.3993969    0.8719558
    2.6027162    0.1183432   25.3743172    0.7825329
    2.8506799    0.1296179   22.9602642    0.7102959
    3.1222675    0.1419667   21.0441170    0.6525249
    3.4197297    0.1554920   18.5653114    0.5922024
    3.7455313    0.1703059   16.9275970    0.5399836
    4.1023726    0.1865312   15.1074715    0.4952888
    4.4932103    0.2043022   13.9407701    0.4582336
    4.9212837    0.2237663   11.9916115    0.4116827
    5.3901401    0.2450848   10.3797226    0.3746639
    5.9036651    0.2684343    8.6979332    0.3334342
    6.4661140    0.2940084    7.3285484    0.3057001
    7.0821486    0.3220189    6.6882396    0.2867437
    7.7568731    0.3526981    6.2942390    0.2662787
    8.4958792    0.3863000    4.7879052    0.2380167
    9.3052921    0.4231033    4.0669060    0.2178635
   10.1918182    0.4634128    3.6961787    0.2008285
   11.1628103    0.5075684    3.3266289    0.1875998
   12.2262974    0.5559188    2.6812050    0.1655796

# theta: 130  degrees
#  Energy      Delta_E    Data         Error
# (MeV)       (MeV)      (mb/sr/MeV)  (mb/sr/MeV)
    4.1088886    0.3265831   12.9106236    0.7079502
    4.8184371    0.3829795   10.3266935    0.5629152
    5.6505151    0.4491148    8.6543455    0.4717442
    6.6262817    0.5266708    7.2321506    0.3974281
    7.7705493    0.6176196    5.2591062    0.2969082
    9.1124163    0.7242740    4.3849277    0.2505604
   10.6859875    0.8493280    3.3288171    0.1959955
   12.5313320    0.9960166    2.6652722    0.1599040
   14.6953211    1.1680150    2.1509812    0.1305772
   17.2330017    1.3697152    1.7222526    0.1050428
   20.2089043    1.6062461    1.3467590    0.0818489
   23.6987038    1.8836228    0.9924747    0.0621313
   27.7911453    2.2088985    0.8373700    0.0526469
   32.5902939    2.5903451    0.6497108    0.0423056
   38.2181892    3.0376620    0.4952118    0.0339182
   44.8179474    3.5622246    0.4477254    0.0302447
   52.5573921    4.1773720    0.3375547    0.0241208
   61.6333313    4.8987465    0.2535533    0.0191686
   72.2765579    5.7446928    0.1928001    0.0156956
   84.7577286    6.7367225    0.1361594    0.0122008
   99.3942261    7.9000621    0.0895512    0.0094742
  116.5582428    9.2642937    0.0512765    0.0069384
  136.6862488   10.8641100    0.0298729    0.0054867
  160.2900848   12.7401924    0.0127754    0.0040794
  187.9699860   14.9402494    0.0034787    0.0031193
  220.4298248   17.5202255    0.0018853    0.0016968
  258.4950256   20.5457268    0.0000000    0.0000000

# theta: 145  degrees
#  Energy      Delta_E    Data         Error
# (MeV)       (MeV)      (mb/sr/MeV)  (mb/sr/MeV)
    1.9808967    0.0900696   30.8371162    2.0351443
    2.1696191    0.0986506   30.5787430    1.0700964
    2.3763213    0.1080492   29.6383133    0.9853186
    2.6027162    0.1183432   26.4749012    0.8863502
    2.8506799    0.1296179   23.1143761    0.7848164
    3.1222675    0.1419667   21.4127674    0.7369909
    3.4197297    0.1554920   19.0366898    0.6682674
    3.7455313    0.1703059   16.7546806    0.6043059
    4.1023726    0.1865312   14.9049625    0.5498703
    4.4932103    0.2043022   13.5364647    0.5075600
    4.9212837    0.2237663   11.1201200    0.4539963
    5.3901401    0.2450848    9.9327888    0.4218225
    5.9036651    0.2684343    8.6989594    0.3740606
    6.4661140    0.2940084    7.3919139    0.3457587
    7.0821486    0.3220189    6.4504776    0.3192474
    7.7568731    0.3526981    5.9940362    0.2942639
    8.4958792    0.3863000    4.6470184    0.2696772
    9.3052921    0.4231033    4.1454020    0.2460441
   10.1918182    0.4634128    3.5061636    0.2245467
   11.1628103    0.5075684    3.4172237    0.2136305
   12.2262974    0.5559188    2.6441038    0.1885944

# theta: 160  degrees
#  Energy      Delta_E    Data         Error
# (MeV)       (MeV)      (mb/sr/MeV)  (mb/sr/MeV)
    4.1088886    0.3265831   12.3189878    0.6817690
    4.8184371    0.3829795   10.0101156    0.5490950
    5.6505151    0.4491148    8.1311970    0.4487873
    6.6262817    0.5266708    6.7956796    0.3776892
    7.7705493    0.6176196    5.0790582    0.2890884
    9.1124163    0.7242740    4.2263832    0.2440712
   10.6859875    0.8493280    3.2094257    0.1912092
   12.5313320    0.9960166    2.3501406    0.1460843
   14.6953211    1.1680150    1.7605784    0.1132749
   17.2330017    1.3697152    1.5176013    0.0958874
   20.2089043    1.6062461    1.0648930    0.0694800
   23.6987038    1.8836228    0.8495099    0.0557446
   27.7911453    2.2088985    0.6514085    0.0444659
   32.5902939    2.5903451    0.5375735    0.0376203
   38.2181892    3.0376620    0.4345334    0.0313074
   44.8179474    3.5622246    0.3481199    0.0259377
   52.5573921    4.1773720    0.2713853    0.0212200
   61.6333313    4.8987465    0.2110958    0.0173237
   72.2765579    5.7446928    0.1382931    0.0134450
   84.7577286    6.7367225    0.1138750    0.0113002
   99.3942261    7.9000621    0.0763404    0.0089693
  116.5582428    9.2642937    0.0311164    0.0064615
  136.6862488   10.8641100    0.0241391    0.0052862
  160.2900848   12.7401924    0.0088809    0.0040593
  187.9699860   14.9402494    0.0063691    0.0032193
  220.4298248   17.5202255    0.0028414    0.0026725
  258.4950256   20.5457268    0.0002588    0.0002329




#COMMENTS: The same target were used for both the time-of-flight
#and spectrometer methods. Targets were 2 or 3-cm diameter
#cylinders made of natural material.
#
#Method: Time-of-flight for low energy neutrons, < 400 MeV
#Pulse-shape discriminationFor neutron-gamma discrimination.
#High energy measurements, >200 MeV, were done using
#(N,P) scattering on a liquid hydrogen converter and
#reconstruction of the proton trajectory in a rotating
#magnetic spectrometer.
#
#
#1.Estimations of systematic errors in the time-of-flight method
#error-(%) 2-20-MeV 20-100-MeV 100-400-MeV
#subtraction of
#accidental 5.8 5.8 5.8
#coincidences
#gamma rejection 2.9 2.9 2.9
#efficiency
#determination 10. 4. 10.
#Total error 11.9 7.6 11.9
#
#2.Estimations of systematic errors as a function of incident energy
#error (%) 0.8-1.2-GeV 1.6-GeV
#beam monitoring <5.8 <5.8
#spectrometer response
#function <4 <11.5
#unfolding procedure <5.8 <8.6
#total uncertainty <9.1 <15.5


